-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2022 through 12/31/2023 in LST,,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2022,40,-85,8.98,10.33,11.45,10.88,11.21,11.53,9.83,11.23,12.2,13.61,10.84,8.52,10.88
T2M_RANGE,2022,40,-85.625,9.04,10.21,11.36,11.3,11.27,11.77,10.64,11.62,12.54,13.81,11.08,8.5,11.1
T2M_RANGE,2022,40,-86.25,9.28,10.47,11.36,11.65,11.36,11.94,11.19,12.05,12.79,13.86,11.08,8.71,11.31
T2M_RANGE,2022,40,-86.875,9.42,10.72,11.53,11.95,11.32,11.9,11.53,12.13,12.82,13.86,10.87,8.56,11.38
T2M_RANGE,2022,40,-87.5,9.64,11.07,11.79,12.36,11.12,12.15,11.55,12.05,12.91,13.97,10.9,8.44,11.49
T2M_RANGE,2022,40,-88.125,10.09,11.64,11.79,12.58,11.18,12.31,11.26,11.72,12.82,13.83,10.87,8.47,11.54
T2M_RANGE,2022,40,-88.75,10.34,11.87,11.71,12.57,11.01,11.83,10.95,11.76,12.75,13.94,10.92,8.94,11.54
T2M_RANGE,2022,40,-89.375,10.71,12.27,12.03,12.69,10.75,11.36,10.49,11.56,12.68,13.84,10.83,9.09,11.51
T2M_RANGE,2022,40,-90,10.83,12.26,12.25,12.98,10.56,11.28,10.55,12.44,13.47,14.08,11,9.07,11.72
T2M_RANGE,2022,40.5,-85,8.91,9.96,11.41,11.37,11.59,12.07,10.17,11.32,12.16,13.64,10.93,8.43,11
T2M_RANGE,2022,40.5,-85.625,9.06,10.13,11.33,11.43,11.61,12.18,10.89,12.17,12.71,13.75,11.05,8.47,11.23
T2M_RANGE,2022,40.5,-86.25,9.21,10.44,11.51,11.6,11.6,12.32,11.67,12.78,13.1,13.77,10.95,8.61,11.47
T2M_RANGE,2022,40.5,-86.875,9.48,10.62,11.79,11.91,11.59,12.37,12.08,12.82,13.24,13.83,10.65,8.45,11.57
T2M_RANGE,2022,40.5,-87.5,9.8,10.91,11.76,12.16,11.3,12.42,11.92,12.59,13.14,13.88,10.73,8.36,11.58
T2M_RANGE,2022,40.5,-88.125,10.09,11.46,11.55,12.38,11.24,12.32,11.48,12.43,13.15,13.82,10.79,8.41,11.59
T2M_RANGE,2022,40.5,-88.75,10.33,11.65,11.44,12.32,10.99,11.87,11.13,11.96,12.92,13.72,10.66,8.6,11.46
T2M_RANGE,2022,40.5,-89.375,10.6,11.88,11.65,12.45,10.68,11.66,11.39,12.19,13.19,13.8,10.76,8.87,11.59
T2M_RANGE,2022,40.5,-90,10.8,12.01,11.85,12.72,10.59,11.63,11.61,12.61,13.74,14.12,11.03,8.93,11.8
T2M_RANGE,2022,41,-85,8.95,9.83,11.66,11.73,11.84,12.48,10.7,11.82,12.35,13.7,10.89,8.22,11.18
T2M_RANGE,2022,41,-85.625,9.11,10,11.51,11.58,11.78,12.5,10.96,12.33,12.95,13.63,10.73,8.18,11.27
T2M_RANGE,2022,41,-86.25,9.2,10.43,11.58,11.46,11.84,12.6,11.46,12.74,13.21,13.65,10.39,8.34,11.41
T2M_RANGE,2022,41,-86.875,9.4,10.48,11.68,11.54,11.55,12.61,11.63,12.71,13.25,13.63,10.31,8.27,11.42
T2M_RANGE,2022,41,-87.5,9.76,10.69,11.7,11.76,11.22,12.61,11.53,12.55,13.21,13.66,10.53,8.24,11.46
T2M_RANGE,2022,41,-88.125,9.98,11.05,11.55,12.08,11.21,12.53,11.23,12.35,13.29,13.85,10.71,8.51,11.53
T2M_RANGE,2022,41,-88.75,10.16,11.19,11.39,12.36,10.91,12.27,10.93,11.94,13.26,13.88,10.84,8.68,11.48
T2M_RANGE,2022,41,-89.375,10.45,11.32,11.33,12.39,10.68,12.02,11.28,11.94,13.2,13.84,10.83,8.66,11.49
